0
-21,16078118
-17,62777167
-14,05078356
-10,42761616
-6,7564417
-3,035887634
0,734896055
4,556184262
8,427638045
12,34827863
16,31647289
20,32992897
24,38570102
28,48020172
32,60922166
36,76795452
40,95102729
45,15253456
49,36607617
53,58479767
57,8014328
62,00834757
66,19758534
70,36091258
74,48986479
78,57579231
82,60990571
86,5833204
90,48710039
94,31230081
98,05000922
101,6913853
105,2276993
108,6503682
111,9509909
115,121381
118,153598
121,0399766
123,7731544
126,3460972
128,7521225
130,9849222
133,038582
134,9076003
136,5870317
138,0726858
139,3612123
140,4501299
141,3378223
142,0235185
142,5072646
142,7898899
142,8729711
142,7587951
142,4503208
141,9511406
141,2654421
140,3979699
139,353987
138,1392377
136,7599098
135,2225981
133,5342676
131,7022183
129,7340496
127,6376263
125,4210443
123,0925981
120,6607477
118,1339604
115,5204963
112,8283059
110,0649847
107,2377579
104,353509
101,4187992
98,43983057
95,42239039
92,37179451
89,29283864
86,18976091
83,06621666
79,92526509
76,76936671
73,60039058
70,4196299
67,22782486
64,02519149
60,8114554
57,58588963
54,34735542
51,09434528
47,82502765
44,53729237
41,2287965
37,89700995
34,53926055
31,15277795
27,7347364
24,28226868
20,79249468
17,26260877
13,68998602
10,07228787
6,407557774
2,694303119
-1,068437863
-4,881043895
-8,743272322
-12,65423348
-16,61237653
-20,61548545
-24,66068408
-28,74444899
-32,86262917
-37,01047156
-41,18265148
-45,37330726
-49,5760782
-53,78414522
-57,99027362
-62,18685743
-66,36596469
-70,51938346
-74,63866793
-78,71518444
-82,74015707
-86,70471243
-90,59992361
-94,41685285
-98,14659298
-101,7803074
-105,3092683
-108,7248936
-112,0187816
-115,1827442
-118,2088383
-121,0893951
-123,8170477
-126,3847566
-128,7858338
-131,0139647
-133,0632283
-134,9281155
-136,6036737
-138,0857043
-139,3708492
-140,4566187
-141,3413879
-142,0243776
-142,5056251
-142,7859512
-142,8669242
-142,7508225
-142,4405963
-141,93983
-141,2527029
-140,3839515
-139,3388309
-138,1230777
-136,7428723
-135,2048019
-133,5158246
-131,6832333
-129,7146209
-127,6178456
-125,4009971
-123,0723637
-120,6404
-118,1135674
-115,5001209
-112,8080058
-110,0448127
-107,2177623
-104,3337337
-101,3992838
-98,42061074
-95,40349805
-92,35325803
-89,274683
-86,17200794
-83,04888523
-79,90837126
-76,75292394
-73,58440988
-70,40412
-67,21279239
-64,01064107
-60,79738987
-57,57231013
-54,33426154
-51,08173521
-47,81289827
-44,52563937
-41,2176145
-37,88629262
-34,52900067
-31,14296754
-27,72536679
-24,27333059
-20,78397831
-17,25450387
-13,68228195
-10,06497367
-6,400622231
-2,687734814
1,074650501
4,88691254
8,748808709
12,65944936
16,61728364
20,62009546
24,6650086
28,74849949
32,86641701
37,0140079
41,18594733
45,37637343
49,57892526
53,78678351
57,99271326
62,18910826
66,3680363
70,52128517
74,64040877
78,71677318
82,74160218
86,7060221
90,60110574
94,41791505
98,14754259
101,7811514
105,3100136
108,7255466
112,0193484
115,1832309
118,2092505
121,0897382
123,8173268
126,3849766
128,7859995
131,0140804
133,0632982
134,9281436
136,6036638
138,0856598
139,3707736
140,4565149
141,3412591
142,0242264
142,5054542
142,785763
142,8667209
142,7506062
142,4403691
141,9395937
141,2524591
140,3837017
139,3385767
138,1228204
136,7426131
135,2045419
133,5155648
131,6829746
129,7143641
127,6175915
125,4007464
123,072117
120,6401578
118,1133301
115,499889
112,8077797
110,0445926
107,2175485
104,3335264
101,3990831
98,42041681
95,40331099
92,35307788
89,2745098
86,17184169
83,0487259
79,90821881
76,7527783
73,58427096
70,40398771
67,21266661
64,01052167
60,79727671
57,57220307
54,33416042
51,08163986
47,81280852
44,52555504
41,21753543
37,88621862
34,52893155
31,14290313
27,7253069
24,27327503
20,78392691
17,25445643
13,68223831
10,06493365
6,400585653
2,68770151
-1,074680698
-4,886939794
-8,748833177
-12,6594712
-16,61730299
-20,62011249
-24,66502343
-28,74851227
-32,86642786
-37,01401695
-41,18595471
-45,37637924
-49,57892962
-53,78678654
-57,99271505
-62,18910891
-66,36803591
-70,52128382
-74,64040655
-78,71677017
-82,74159845
-86,70601774
-90,6011008
-94,4179096
-98,14753669
-101,7811451
-105,3100069
-108,7255396
-112,0193413
-115,1832235
-118,209243
-121,0897305
-123,8173191
-126,3849688
-128,7859916
-131,0140726
-133,0632904
-134,9281359
-136,6036561
-138,0856522
-139,3707661
-140,4565075
-141,3412518
-142,0242193
-142,5054472
-142,7857562
-142,8667143
-142,7505998
-142,4403629
-141,9395876
-141,2524532
-140,3836961
-139,3385712
-138,1228151
-136,742608
-135,204537
-133,51556
-131,6829701
-129,7143598
-127,6175873
-125,4007424
-123,0721132
-120,6401542
-118,1133267
-115,4998857
-112,8077766
-110,0445897
-107,2175457
-104,3335237
-101,3990806
-98,42041447
-95,40330878
-92,35307581
-89,27450785
-86,17183987
-83,0487242
-79,90821722
-76,75277682
-73,58426959
-70,40398644
-67,21266543
-64,01052058
-60,79727571
-57,57220215
-54,33415957
-51,08163909
-47,81280782
-44,52555441
-41,21753485
-37,8862181
-34,52893109
-31,14290272
-27,72530654
-24,27327471
-20,78392663
-17,2544562
